Species 1,Species 2,Dist,Std. Err
MT442037 Staphylococcus canis,AJ320272 Staphylococcus casei,0.0231102881,0.0042060360
EU888120 Staphylococcus microti,AJ320272 Staphylococcus casei,0.0355546077,0.0048784254
FM242137 Staphylococcus rostri,AJ320272 Staphylococcus casei,0.0345339776,0.0049394915
FR733703 Staphylococcus muscae,AJ320272 Staphylococcus casei,0.0301937062,0.0044750909
D83358 Staphylococcus auricularis,AJ320272 Staphylococcus casei,0.0249072534,0.0041524850
AB233329 Staphylococcus carnosus subsp. utilis,AJ320272 Staphylococcus casei,0.0324525177,0.0048180305
EU727181 Staphylococcus carnosus subsp. carnosus,AJ320272 Staphylococcus casei,0.0285790564,0.0045445828
Y15750 Staphylococcus condimenti,AJ320272 Staphylococcus casei,0.0293851367,0.0044294070
Y15754 Staphylococcus piscifermentans,AJ320272 Staphylococcus casei,0.0307968717,0.0044663559
MK121623 Staphylococcus debuckii,AJ320272 Staphylococcus casei,0.0301642500,0.0044107946
D83373 Staphylococcus simulans,AJ320272 Staphylococcus casei,0.0369733792,0.0047783230
EU707796 Staphylococcus massiliensis,AJ320272 Staphylococcus casei,0.0291443142,0.0042796157
KY315825 Staphylococcus edaphicus,AJ320272 Staphylococcus casei,0.0105690339,0.0026681473
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AJ320272 Staphylococcus casei,0.0105203916,0.0026558319
MH643903 Staphylococcus pseudoxylosus,AJ320272 Staphylococcus casei,0.0102153195,0.0026890242
AB233327 Staphylococcus saprophyticus subsp. bovis,AJ320272 Staphylococcus casei,0.0118261716,0.0028770589
MH431939 Staphylococcus caeli,AJ320272 Staphylococcus casei,0.0105297675,0.0026877330
D83374 Staphylococcus xylosus,AJ320272 Staphylococcus casei,0.0081843869,0.0023801892
AF004220 Staphylococcus succinus subsp. succinus,AJ320272 Staphylococcus casei,0.0013066548,0.0009521328
AB009938 Staphylococcus delphini,AF527483 Staphylococcus equorum subsp. linens,0.0288452377,0.0042596959
AJ780976 Staphylococcus pseudintermedius,AF527483 Staphylococcus equorum subsp. linens,0.0312278026,0.0045571760
CAIB01000045 Staphylococcus intermedius,AF527483 Staphylococcus equorum subsp. linens,0.0294383794,0.0043046169
FXUZ01000000 Staphylococcus cornubiensis,AF527483 Staphylococcus equorum subsp. linens,0.0304495333,0.0046067901
KY019172 Staphylococcus ursi,AF527483 Staphylococcus equorum subsp. linens,0.0307652914,0.0043981982
X84731 Staphylococcus lutrae,AF527483 Staphylococcus equorum subsp. linens,0.0347256156,0.0049851088
HM484980 Staphylococcus agnetis,AF527483 Staphylococcus equorum subsp. linens,0.0336408861,0.0049383104
CP008747 Staphylococcus hyicus,AF527483 Staphylococcus equorum subsp. linens,0.0308067016,0.0045233392
D83360 Staphylococcus chromogenes,AF527483 Staphylococcus equorum subsp. linens,0.0313235420,0.0047190134
S83568 Staphylococcus schleiferi subsp. schleiferi,AF527483 Staphylococcus equorum subsp. linens,0.0332302435,0.0047927317
AB009945 Staphylococcus coagulans,AF527483 Staphylococcus equorum subsp. linens,0.0331084120,0.0047743741
D83364 Staphylococcus felis,AF527483 Staphylococcus equorum subsp. linens,0.0327739794,0.0048294653
MT442037 Staphylococcus canis,AF527483 Staphylococcus equorum subsp. linens,0.0209150090,0.0041730299
EU888120 Staphylococcus microti,AF527483 Staphylococcus equorum subsp. linens,0.0385079865,0.0050894694
FM242137 Staphylococcus rostri,AF527483 Staphylococcus equorum subsp. linens,0.0388540693,0.0051798118
FR733703 Staphylococcus muscae,AF527483 Staphylococcus equorum subsp. linens,0.0330133889,0.0046593855
D83358 Staphylococcus auricularis,AF527483 Staphylococcus equorum subsp. linens,0.0284598014,0.0043853706
AB233329 Staphylococcus carnosus subsp. utilis,AF527483 Staphylococcus equorum subsp. linens,0.0375496762,0.0052095695
EU727181 Staphylococcus carnosus subsp. carnosus,AF527483 Staphylococcus equorum subsp. linens,0.0325360044,0.0047512584
Y15750 Staphylococcus condimenti,AF527483 Staphylococcus equorum subsp. linens,0.0321609591,0.0047325478
Y15754 Staphylococcus piscifermentans,AF527483 Staphylococcus equorum subsp. linens,0.0342726924,0.0047687110
MK121623 Staphylococcus debuckii,AF527483 Staphylococcus equorum subsp. linens,0.0327985448,0.0047059608
D83373 Staphylococcus simulans,AF527483 Staphylococcus equorum subsp. linens,0.0363058610,0.0048704697
EU707796 Staphylococcus massiliensis,AF527483 Staphylococcus equorum subsp. linens,0.0320517088,0.0045858354
KY315825 Staphylococcus edaphicus,AF527483 Staphylococcus equorum subsp. linens,0.0118533758,0.0027907965
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AF527483 Staphylococcus equorum subsp. linens,0.0118533758,0.0027907965
MH643903 Staphylococcus pseudoxylosus,AF527483 Staphylococcus equorum subsp. linens,0.0115014006,0.0027910415
AB233327 Staphylococcus saprophyticus subsp. bovis,AF527483 Staphylococcus equorum subsp. linens,0.0125299303,0.0029754886
MH431939 Staphylococcus caeli,AF527483 Staphylococcus equorum subsp. linens,0.0105246053,0.0026658886
D83374 Staphylococcus xylosus,AF527483 Staphylococcus equorum subsp. linens,0.0102471205,0.0026546975
AF004220 Staphylococcus succinus subsp. succinus,AF527483 Staphylococcus equorum subsp. linens,0.0105203916,0.0026289752
AJ320272 Staphylococcus casei,AF527483 Staphylococcus equorum subsp. linens,0.0112658916,0.0027519224
AB009938 Staphylococcus delphini,AB009939 Staphylococcus equorum subsp. equorum,0.0288085574,0.0042684600
AJ780976 Staphylococcus pseudintermedius,AB009939 Staphylococcus equorum subsp. equorum,0.0323274665,0.0046436053
CAIB01000045 Staphylococcus intermedius,AB009939 Staphylococcus equorum subsp. equorum,0.0301886293,0.0044412539
FXUZ01000000 Staphylococcus cornubiensis,AB009939 Staphylococcus equorum subsp. equorum,0.0321250200,0.0048186263
KY019172 Staphylococcus ursi,AB009939 Staphylococcus equorum subsp. equorum,0.0316141072,0.0045804472
X84731 Staphylococcus lutrae,AB009939 Staphylococcus equorum subsp. equorum,0.0363602874,0.0051502836
HM484980 Staphylococcus agnetis,AB009939 Staphylococcus equorum subsp. equorum,0.0343854082,0.0049812847
CP008747 Staphylococcus hyicus,AB009939 Staphylococcus equorum subsp. equorum,0.0316578549,0.0046682489
D83360 Staphylococcus chromogenes,AB009939 Staphylococcus equorum subsp. equorum,0.0320536320,0.0047576488
S83568 Staphylococcus schleiferi subsp. schleiferi,AB009939 Staphylococcus equorum subsp. equorum,0.0349153207,0.0050163393
AB009945 Staphylococcus coagulans,AB009939 Staphylococcus equorum subsp. equorum,0.0330660996,0.0048018726
D83364 Staphylococcus felis,AB009939 Staphylococcus equorum subsp. equorum,0.0335069225,0.0048857967
MT442037 Staphylococcus canis,AB009939 Staphylococcus equorum subsp. equorum,0.0224886674,0.0044041263
EU888120 Staphylococcus microti,AB009939 Staphylococcus equorum subsp. equorum,0.0393327574,0.0050918222
FM242137 Staphylococcus rostri,AB009939 Staphylococcus equorum subsp. equorum,0.0388012477,0.0051477905
FR733703 Staphylococcus muscae,AB009939 Staphylococcus equorum subsp. equorum,0.0346808090,0.0048106329
D83358 Staphylococcus auricularis,AB009939 Staphylococcus equorum subsp. equorum,0.0277748356,0.0043481451
AB233329 Staphylococcus carnosus subsp. utilis,AB009939 Staphylococcus equorum subsp. equorum,0.0368275170,0.0051580250
EU727181 Staphylococcus carnosus subsp. carnosus,AB009939 Staphylococcus equorum subsp. equorum,0.0316109514,0.0047427827
Y15750 Staphylococcus condimenti,AB009939 Staphylococcus equorum subsp. equorum,0.0316500107,0.0047921539
Y15754 Staphylococcus piscifermentans,AB009939 Staphylococcus equorum subsp. equorum,0.0338171522,0.0048353216
MK121623 Staphylococcus debuckii,AB009939 Staphylococcus equorum subsp. equorum,0.0323052466,0.0047743395
D83373 Staphylococcus simulans,AB009939 Staphylococcus equorum subsp. equorum,0.0370434800,0.0049078563
EU707796 Staphylococcus massiliensis,AB009939 Staphylococcus equorum subsp. equorum,0.0329210962,0.0047053395
KY315825 Staphylococcus edaphicus,AB009939 Staphylococcus equorum subsp. equorum,0.0108148085,0.0027395162
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AB009939 Staphylococcus equorum subsp. equorum,0.0108148085,0.0027395162
MH643903 Staphylococcus pseudoxylosus,AB009939 Staphylococcus equorum subsp. equorum,0.0101352988,0.0026493499
AB233327 Staphylococcus saprophyticus subsp. bovis,AB009939 Staphylococcus equorum subsp. equorum,0.0118295134,0.0029249109
MH431939 Staphylococcus caeli,AB009939 Staphylococcus equorum subsp. equorum,0.0108100903,0.0027114039
D83374 Staphylococcus xylosus,AB009939 Staphylococcus equorum subsp. equorum,0.0095670960,0.0025748303
AF004220 Staphylococcus succinus subsp. succinus,AB009939 Staphylococcus equorum subsp. equorum,0.0094482656,0.0024869870
AJ320272 Staphylococcus casei,AB009939 Staphylococcus equorum subsp. equorum,0.0109028548,0.0026793378
AF527483 Staphylococcus equorum subsp. linens,AB009939 Staphylococcus equorum subsp. equorum,0.0013413944,0.0009428926
AB009938 Staphylococcus delphini,AJ517414 Staphylococcus nepalensis,0.0287600080,0.0042975508
AJ780976 Staphylococcus pseudintermedius,AJ517414 Staphylococcus nepalensis,0.0316149602,0.0047730739
CAIB01000045 Staphylococcus intermedius,AJ517414 Staphylococcus nepalensis,0.0301832789,0.0045689096
FXUZ01000000 Staphylococcus cornubiensis,AJ517414 Staphylococcus nepalensis,0.0239755956,0.0041386812
KY019172 Staphylococcus ursi,AJ517414 Staphylococcus nepalensis,0.0309183012,0.0045473372
X84731 Staphylococcus lutrae,AJ517414 Staphylococcus nepalensis,0.0359954721,0.0050400443
HM484980 Staphylococcus agnetis,AJ517414 Staphylococcus nepalensis,0.0292033128,0.0044816167
CP008747 Staphylococcus hyicus,AJ517414 Staphylococcus nepalensis,0.0330889606,0.0046637644
D83360 Staphylococcus chromogenes,AJ517414 Staphylococcus nepalensis,0.0316739440,0.0045625888
S83568 Staphylococcus schleiferi subsp. schleiferi,AJ517414 Staphylococcus nepalensis,0.0338006103,0.0047190854
AB009945 Staphylococcus coagulans,AJ517414 Staphylococcus nepalensis,0.0324470201,0.0046345520
D83364 Staphylococcus felis,AJ517414 Staphylococcus nepalensis,0.0360359456,0.0048287587
MT442037 Staphylococcus canis,AJ517414 Staphylococcus nepalensis,0.0216733754,0.0042264440
EU888120 Staphylococcus microti,AJ517414 Staphylococcus nepalensis,0.0367863295,0.0048839295
FM242137 Staphylococcus rostri,AJ517414 Staphylococcus nepalensis,0.0366163179,0.0049920032
FR733703 Staphylococcus muscae,AJ517414 Staphylococcus nepalensis,0.0353451881,0.0046953936
D83358 Staphylococcus auricularis,AJ517414 Staphylococcus nepalensis,0.0259514435,0.0041105095
AB233329 Staphylococcus carnosus subsp. utilis,AJ517414 Staphylococcus nepalensis,0.0312821769,0.0044346598
EU727181 Staphylococcus carnosus subsp. carnosus,AJ517414 Staphylococcus nepalensis,0.0301738279,0.0044291952
Y15750 Staphylococcus condimenti,AJ517414 Staphylococcus nepalensis,0.0308913353,0.0044507281
Y15754 Staphylococcus piscifermentans,AJ517414 Staphylococcus nepalensis,0.0323795874,0.0045323640
MK121623 Staphylococcus debuckii,AJ517414 Staphylococcus nepalensis,0.0323192826,0.0043913430
D83373 Staphylococcus simulans,AJ517414 Staphylococcus nepalensis,0.0388802034,0.0051740341
EU707796 Staphylococcus massiliensis,AJ517414 Staphylococcus nepalensis,0.0367667928,0.0046944108
KY315825 Staphylococcus edaphicus,AJ517414 Staphylococcus nepalensis,0.0187721929,0.0036456853
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AJ517414 Staphylococcus nepalensis,0.0187721929,0.0036456853
MH643903 Staphylococcus pseudoxylosus,AJ517414 Staphylococcus nepalensis,0.0180829136,0.0036282960
AB233327 Staphylococcus saprophyticus subsp. bovis,AJ517414 Staphylococcus nepalensis,0.0176155974,0.0035103657
MH431939 Staphylococcus caeli,AJ517414 Staphylococcus nepalensis,0.0187806486,0.0036307355
D83374 Staphylococcus xylosus,AJ517414 Staphylococcus nepalensis,0.0187963820,0.0036843821
AF004220 Staphylococcus succinus subsp. succinus,AJ517414 Staphylococcus nepalensis,0.0187833064,0.0035584499
AJ320272 Staphylococcus casei,AJ517414 Staphylococcus nepalensis,0.0201922398,0.0036980456
AF527483 Staphylococcus equorum subsp. linens,AJ517414 Staphylococcus nepalensis,0.0208772983,0.0038161860
AB009939 Staphylococcus equorum subsp. equorum,AJ517414 Staphylococcus nepalensis,0.0202021439,0.0037881853
AB009938 Staphylococcus delphini,AB009933 Staphylococcus arlettae,0.0274215558,0.0042251783
AJ780976 Staphylococcus pseudintermedius,AB009933 Staphylococcus arlettae,0.0281114229,0.0043066992
CAIB01000045 Staphylococcus intermedius,AB009933 Staphylococcus arlettae,0.0259898311,0.0040985113
FXUZ01000000 Staphylococcus cornubiensis,AB009933 Staphylococcus arlettae,0.0283939590,0.0044256097
KY019172 Staphylococcus ursi,AB009933 Staphylococcus arlettae,0.0280989045,0.0041782332
X84731 Staphylococcus lutrae,AB009933 Staphylococcus arlettae,0.0320614354,0.0046931907
HM484980 Staphylococcus agnetis,AB009933 Staphylococcus arlettae,0.0306402478,0.0045599518
CP008747 Staphylococcus hyicus,AB009933 Staphylococcus arlettae,0.0281376069,0.0043304070
D83360 Staphylococcus chromogenes,AB009933 Staphylococcus arlettae,0.0284924317,0.0044063539
S83568 Staphylococcus schleiferi subsp. schleiferi,AB009933 Staphylococcus arlettae,0.0320805501,0.0044688917
AB009945 Staphylococcus coagulans,AB009933 Staphylococcus arlettae,0.0302718995,0.0044019052
D83364 Staphylococcus felis,AB009933 Staphylococcus arlettae,0.0327772918,0.0047223451
MT442037 Staphylococcus canis,AB009933 Staphylococcus arlettae,0.0241837945,0.0045726937
EU888120 Staphylococcus microti,AB009933 Staphylococcus arlettae,0.0321480634,0.0047165065
FM242137 Staphylococcus rostri,AB009933 Staphylococcus arlettae,0.0313167826,0.0047532587
FR733703 Staphylococcus muscae,AB009933 Staphylococcus arlettae,0.0304216553,0.0045467026
D83358 Staphylococcus auricularis,AB009933 Staphylococcus arlettae,0.0235266723,0.0038758750
AB233329 Staphylococcus carnosus subsp. utilis,AB009933 Staphylococcus arlettae,0.0324674246,0.0048525997
EU727181 Staphylococcus carnosus subsp. carnosus,AB009933 Staphylococcus arlettae,0.0287876686,0.0045849745
Y15750 Staphylococcus condimenti,AB009933 Staphylococcus arlettae,0.0295282968,0.0045807308
Y15754 Staphylococcus piscifermentans,AB009933 Staphylococcus arlettae,0.0309803774,0.0046598019
MK121623 Staphylococcus debuckii,AB009933 Staphylococcus arlettae,0.0308815084,0.0044936424
D83373 Staphylococcus simulans,AB009933 Staphylococcus arlettae,0.0349142034,0.0049786564
EU707796 Staphylococcus massiliensis,AB009933 Staphylococcus arlettae,0.0307674029,0.0043445255
KY315825 Staphylococcus edaphicus,AB009933 Staphylococcus arlettae,0.0101267156,0.0025094373
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AB009933 Staphylococcus arlettae,0.0101267156,0.0025094373
MH643903 Staphylococcus pseudoxylosus,AB009933 Staphylococcus arlettae,0.0108056447,0.0025785887
AB233327 Staphylococcus saprophyticus subsp. bovis,AB009933 Staphylococcus arlettae,0.0111199004,0.0027320507
MH431939 Staphylococcus caeli,AB009933 Staphylococcus arlettae,0.0114932211,0.0026883116
D83374 Staphylococcus xylosus,AB009933 Staphylococcus arlettae,0.0116331819,0.0026531029
AF004220 Staphylococcus succinus subsp. succinus,AB009933 Staphylococcus arlettae,0.0142484459,0.0030478067
AJ320272 Staphylococcus casei,AB009933 Staphylococcus arlettae,0.0157577965,0.0032876563
AF527483 Staphylococcus equorum subsp. linens,AB009933 Staphylococcus arlettae,0.0128705588,0.0029931035
AB009939 Staphylococcus equorum subsp. equorum,AB009933 Staphylococcus arlettae,0.0128544566,0.0029497279
AJ517414 Staphylococcus nepalensis,AB009933 Staphylococcus arlettae,0.0152828048,0.0032076922
AB009938 Staphylococcus delphini,D83361 Staphylococcus cohnii subsp. cohnii,0.0228036467,0.0038646103
AJ780976 Staphylococcus pseudintermedius,D83361 Staphylococcus cohnii subsp. cohnii,0.0255792040,0.0041855188
CAIB01000045 Staphylococcus intermedius,D83361 Staphylococcus cohnii subsp. cohnii,0.0241756396,0.0040031504
FXUZ01000000 Staphylococcus cornubiensis,D83361 Staphylococcus cohnii subsp. cohnii,0.0261407423,0.0042827481
KY019172 Staphylococcus ursi,D83361 Staphylococcus cohnii subsp. cohnii,0.0263019416,0.0041430082
X84731 Staphylococcus lutrae,D83361 Staphylococcus cohnii subsp. cohnii,0.0284755358,0.0045029268
HM484980 Staphylococcus agnetis,D83361 Staphylococcus cohnii subsp. cohnii,0.0283971328,0.0044527949
CP008747 Staphylococcus hyicus,D83361 Staphylococcus cohnii subsp. cohnii,0.0263384950,0.0042531343
D83360 Staphylococcus chromogenes,D83361 Staphylococcus cohnii subsp. cohnii,0.0263411750,0.0042472001
S83568 Staphylococcus schleiferi subsp. schleiferi,D83361 Staphylococcus cohnii subsp. cohnii,0.0299125817,0.0044612602
AB009945 Staphylococcus coagulans,D83361 Staphylococcus cohnii subsp. cohnii,0.0285093479,0.0043711011
D83364 Staphylococcus felis,D83361 Staphylococcus cohnii subsp. cohnii,0.0320313120,0.0047509297
MT442037 Staphylococcus canis,D83361 Staphylococcus cohnii subsp. cohnii,0.0241505882,0.0045766685
EU888120 Staphylococcus microti,D83361 Staphylococcus cohnii subsp. cohnii,0.0313925014,0.0045462857
FM242137 Staphylococcus rostri,D83361 Staphylococcus cohnii subsp. cohnii,0.0301908235,0.0045176111
FR733703 Staphylococcus muscae,D83361 Staphylococcus cohnii subsp. cohnii,0.0299459302,0.0043915314
D83358 Staphylococcus auricularis,D83361 Staphylococcus cohnii subsp. cohnii,0.0200021711,0.0035588806
AB233329 Staphylococcus carnosus subsp. utilis,D83361 Staphylococcus cohnii subsp. cohnii,0.0288551400,0.0045054211
EU727181 Staphylococcus carnosus subsp. carnosus,D83361 Staphylococcus cohnii subsp. cohnii,0.0241864793,0.0041083638
Y15750 Staphylococcus condimenti,D83361 Staphylococcus cohnii subsp. cohnii,0.0248900334,0.0041058112
Y15754 Staphylococcus piscifermentans,D83361 Staphylococcus cohnii subsp. cohnii,0.0263401333,0.0042000015
MK121623 Staphylococcus debuckii,D83361 Staphylococcus cohnii subsp. cohnii,0.0262918515,0.0040809795
D83373 Staphylococcus simulans,D83361 Staphylococcus cohnii subsp. cohnii,0.0291574659,0.0044250559
EU707796 Staphylococcus massiliensis,D83361 Staphylococcus cohnii subsp. cohnii,0.0300053863,0.0044659182
KY315825 Staphylococcus edaphicus,D83361 Staphylococcus cohnii subsp. cohnii,0.0109389958,0.0027740005
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,D83361 Staphylococcus cohnii subsp. cohnii,0.0109389958,0.0027740005
MH643903 Staphylococcus pseudoxylosus,D83361 Staphylococcus cohnii subsp. cohnii,0.0102516418,0.0026925922
AB233327 Staphylococcus saprophyticus subsp. bovis,D83361 Staphylococcus cohnii subsp. cohnii,0.0118278423,0.0029362052
MH431939 Staphylococcus caeli,D83361 Staphylococcus cohnii subsp. cohnii,0.0109438274,0.0027674896
D83374 Staphylococcus xylosus,D83361 Staphylococcus cohnii subsp. cohnii,0.0109453471,0.0028033367
AF004220 Staphylococcus succinus subsp. succinus,D83361 Staphylococcus cohnii subsp. cohnii,0.0123223382,0.0029726143
AJ320272 Staphylococcus casei,D83361 Staphylococcus cohnii subsp. cohnii,0.0137032100,0.0031249604
AF527483 Staphylococcus equorum subsp. linens,D83361 Staphylococcus cohnii subsp. cohnii,0.0102352543,0.0025925991
AB009939 Staphylococcus equorum subsp. equorum,D83361 Staphylococcus cohnii subsp. cohnii,0.0095560163,0.0025604067
AJ517414 Staphylococcus nepalensis,D83361 Staphylococcus cohnii subsp. cohnii,0.0117574218,0.0028630164
AB009933 Staphylococcus arlettae,D83361 Staphylococcus cohnii subsp. cohnii,0.0074983841,0.0022120871
AB009938 Staphylococcus delphini,AB009936 Staphylococcus urealyticus,0.0218204852,0.0037622728
AJ780976 Staphylococcus pseudintermedius,AB009936 Staphylococcus urealyticus,0.0260228120,0.0041927584
CAIB01000045 Staphylococcus intermedius,AB009936 Staphylococcus urealyticus,0.0239089798,0.0039767787
FXUZ01000000 Staphylococcus cornubiensis,AB009936 Staphylococcus urealyticus,0.0239305220,0.0040811386
KY019172 Staphylococcus ursi,AB009936 Staphylococcus urealyticus,0.0246177164,0.0039663730
X84731 Staphylococcus lutrae,AB009936 Staphylococcus urealyticus,0.0299334044,0.0046289310
HM484980 Staphylococcus agnetis,AB009936 Staphylococcus urealyticus,0.0261587485,0.0042291282
CP008747 Staphylococcus hyicus,AB009936 Staphylococcus urealyticus,0.0239301911,0.0039997471
D83360 Staphylococcus chromogenes,AB009936 Staphylococcus urealyticus,0.0242308319,0.0040506237
S83568 Staphylococcus schleiferi subsp. schleiferi,AB009936 Staphylococcus urealyticus,0.0277901970,0.0042505599
AB009945 Staphylococcus coagulans,AB009936 Staphylococcus urealyticus,0.0260459740,0.0041272444
D83364 Staphylococcus felis,AB009936 Staphylococcus urealyticus,0.0299040929,0.0045125935
MT442037 Staphylococcus canis,AB009936 Staphylococcus urealyticus,0.0216193133,0.0042580536
EU888120 Staphylococcus microti,AB009936 Staphylococcus urealyticus,0.0292621693,0.0043260168
FM242137 Staphylococcus rostri,AB009936 Staphylococcus urealyticus,0.0283124414,0.0042886036
FR733703 Staphylococcus muscae,AB009936 Staphylococcus urealyticus,0.0275718012,0.0041068410
D83358 Staphylococcus auricularis,AB009936 Staphylococcus urealyticus,0.0186278060,0.0034329119
AB233329 Staphylococcus carnosus subsp. utilis,AB009936 Staphylococcus urealyticus,0.0281240909,0.0044337280
EU727181 Staphylococcus carnosus subsp. carnosus,AB009936 Staphylococcus urealyticus,0.0232008304,0.0039596777
Y15750 Staphylococcus condimenti,AB009936 Staphylococcus urealyticus,0.0239277351,0.0039517927
Y15754 Staphylococcus piscifermentans,AB009936 Staphylococcus urealyticus,0.0253591109,0.0040634161
MK121623 Staphylococcus debuckii,AB009936 Staphylococcus urealyticus,0.0252785658,0.0039496155
D83373 Staphylococcus simulans,AB009936 Staphylococcus urealyticus,0.0284557729,0.0043337907
EU707796 Staphylococcus massiliensis,AB009936 Staphylococcus urealyticus,0.0292998491,0.0043167847
KY315825 Staphylococcus edaphicus,AB009936 Staphylococcus urealyticus,0.0087690939,0.0024678560
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,AB009936 Staphylococcus urealyticus,0.0087690939,0.0024678560
MH643903 Staphylococcus pseudoxylosus,AB009936 Staphylococcus urealyticus,0.0080916939,0.0023992818
AB233327 Staphylococcus saprophyticus subsp. bovis,AB009936 Staphylococcus urealyticus,0.0097214727,0.0026578968
MH431939 Staphylococcus caeli,AB009936 Staphylococcus urealyticus,0.0087729123,0.0024744619
D83374 Staphylococcus xylosus,AB009936 Staphylococcus urealyticus,0.0088820111,0.0025545056
AF004220 Staphylococcus succinus subsp. succinus,AB009936 Staphylococcus urealyticus,0.0101311310,0.0027141753
AJ320272 Staphylococcus casei,AB009936 Staphylococcus urealyticus,0.0115935172,0.0029168938
AF527483 Staphylococcus equorum subsp. linens,AB009936 Staphylococcus urealyticus,0.0114959728,0.0028032074
AB009939 Staphylococcus equorum subsp. equorum,AB009936 Staphylococcus urealyticus,0.0101236905,0.0026548596
AJ517414 Staphylococcus nepalensis,AB009936 Staphylococcus urealyticus,0.0096703831,0.0025424107
AB009933 Staphylococcus arlettae,AB009936 Staphylococcus urealyticus,0.0080883751,0.0022924853
D83361 Staphylococcus cohnii subsp. cohnii,AB009936 Staphylococcus urealyticus,0.0020365772,0.0011874351
AB009938 Staphylococcus delphini,CP027846 Staphylococcus kloosii,0.0259516417,0.0041841476
AJ780976 Staphylococcus pseudintermedius,CP027846 Staphylococcus kloosii,0.0290927033,0.0043988990
CAIB01000045 Staphylococcus intermedius,CP027846 Staphylococcus kloosii,0.0259414394,0.0040514873
FXUZ01000000 Staphylococcus cornubiensis,CP027846 Staphylococcus kloosii,0.0258471440,0.0040926780
KY019172 Staphylococcus ursi,CP027846 Staphylococcus kloosii,0.0262490947,0.0039504133
X84731 Staphylococcus lutrae,CP027846 Staphylococcus kloosii,0.0318638023,0.0046846721
HM484980 Staphylococcus agnetis,CP027846 Staphylococcus kloosii,0.0290546580,0.0044339216
CP008747 Staphylococcus hyicus,CP027846 Staphylococcus kloosii,0.0255890968,0.0040212051
D83360 Staphylococcus chromogenes,CP027846 Staphylococcus kloosii,0.0283797232,0.0043759391
S83568 Staphylococcus schleiferi subsp. schleiferi,CP027846 Staphylococcus kloosii,0.0308227237,0.0044138346
AB009945 Staphylococcus coagulans,CP027846 Staphylococcus kloosii,0.0301781817,0.0044245274
D83364 Staphylococcus felis,CP027846 Staphylococcus kloosii,0.0326516478,0.0047471449
MT442037 Staphylococcus canis,CP027846 Staphylococcus kloosii,0.0222774581,0.0040394817
EU888120 Staphylococcus microti,CP027846 Staphylococcus kloosii,0.0347923843,0.0046080965
FM242137 Staphylococcus rostri,CP027846 Staphylococcus kloosii,0.0341748334,0.0046975695
FR733703 Staphylococcus muscae,CP027846 Staphylococcus kloosii,0.0293127092,0.0041952037
D83358 Staphylococcus auricularis,CP027846 Staphylococcus kloosii,0.0213714077,0.0037851395
AB233329 Staphylococcus carnosus subsp. utilis,CP027846 Staphylococcus kloosii,0.0295250421,0.0047446785
EU727181 Staphylococcus carnosus subsp. carnosus,CP027846 Staphylococcus kloosii,0.0241819367,0.0041670903
Y15750 Staphylococcus condimenti,CP027846 Staphylococcus kloosii,0.0244226634,0.0041180629
Y15754 Staphylococcus piscifermentans,CP027846 Staphylococcus kloosii,0.0258057512,0.0042210570
MK121623 Staphylococcus debuckii,CP027846 Staphylococcus kloosii,0.0258117416,0.0040840558
D83373 Staphylococcus simulans,CP027846 Staphylococcus kloosii,0.0348215651,0.0047751615
EU707796 Staphylococcus massiliensis,CP027846 Staphylococcus kloosii,0.0262800447,0.0041857907
KY315825 Staphylococcus edaphicus,CP027846 Staphylococcus kloosii,0.0164551405,0.0032264385
AP008934 Staphylococcus saprophyticus subsp. saprophyticus,CP027846 Staphylococcus kloosii,0.0163049022,0.0031983064
MH643903 Staphylococcus pseudoxylosus,CP027846 Staphylococcus kloosii,0.0162292888,0.0032777496
AB233327 Staphylococcus saprophyticus subsp. bovis,CP027846 Staphylococcus kloosii,0.0181829202,0.0035173986
MH431939 Staphylococcus caeli,CP027846 Staphylococcus kloosii,0.0150161803,0.0030738910
D83374 Staphylococcus xylosus,CP027846 Staphylococcus kloosii,0.0157979080,0.0032153854
AF004220 Staphylococcus succinus subsp. succinus,CP027846 Staphylococcus kloosii,0.0123974104,0.0027550634
AJ320272 Staphylococcus casei,CP027846 Staphylococcus kloosii,0.0138309800,0.0029397419
AF527483 Staphylococcus equorum subsp. linens,CP027846 Staphylococcus kloosii,0.0178768737,0.0033268501
AB009939 Staphylococcus equorum subsp. equorum,CP027846 Staphylococcus kloosii,0.0183650454,0.0034664309
AJ517414 Staphylococcus nepalensis,CP027846 Staphylococcus kloosii,0.0222954243,0.0037682533
AB009933 Staphylococcus arlettae,CP027846 Staphylococcus kloosii,0.0162886558,0.0033361651
D83361 Staphylococcus cohnii subsp. cohnii,CP027846 Staphylococcus kloosii,0.0143970181,0.0031395316
AB009936 Staphylococcus urealyticus,CP027846 Staphylococcus kloosii,0.0121748402,0.0028686106
AB009938 Staphylococcus delphini,MW186933 Staphylococcus lloydii,0.0259516417,0.0041797999
AJ780976 Staphylococcus pseudintermedius,MW186933 Staphylococcus lloydii,0.0277199323,0.0043888911
